CPU_Freq,CPU_Cores,RAM_Limit_MB,Storage_Limit_MB,FPS_Avg,FPS_Min,FPS_Max,Total_Time
1800,0-3,1024,256,0.37,0.00,0.61,38.02
1800,0-3,1024,128,0.36,0.00,0.59,39.25
1800,0-3,1024,64,0.37,0.00,0.61,38.07
1800,0-3,512,256,0.37,0.00,0.61,37.74
1800,0-3,512,128,0.36,0.00,0.60,38.55
1800,0-3,512,64,0.36,0.00,0.60,38.38
1800,0-3,256,256,0.36,0.00,0.60,38.95
1800,0-3,256,128,0.37,0.00,0.61,37.91
1800,0-3,256,64,0.37,0.00,0.60,38.08
1800,0-1,1024,256,0.37,0.00,0.61,38.13
1800,0-1,1024,128,0.36,0.00,0.62,38.17
1800,0-1,1024,64,0.37,0.00,0.62,37.92
1800,0-1,512,256,0.37,0.00,0.60,38.18
1800,0-1,512,128,0.36,0.00,0.60,38.38
1800,0-1,512,64,0.36,0.00,0.60,38.61
1800,0-1,256,256,0.36,0.00,0.59,38.62
1800,0-1,256,128,0.37,0.00,0.62,37.90
1800,0-1,256,64,0.37,0.00,0.62,37.80
1800,0,1024,256,0.18,0.00,0.30,77.39
1800,0,1024,128,0.18,0.00,0.30,76.73
1800,0,1024,64,0.18,0.00,0.30,77.42
1800,0,512,256,0.18,0.00,0.30,76.56
1800,0,512,128,0.18,0.00,0.30,77.39
1800,0,512,64,0.18,0.00,0.30,76.27
1800,0,256,256,0.18,0.00,0.30,77.36
1800,0,256,128,0.18,0.00,0.30,77.13
1800,0,256,64,0.18,0.00,0.30,76.73
1700,0-3,1024,256,0.34,0.00,0.57,40.63
1700,0-3,1024,128,0.35,0.00,0.60,39.11
1700,0-3,1024,64,0.35,0.00,0.58,40.09
1700,0-3,512,256,0.36,0.00,0.60,39.74
1700,0-3,512,128,0.36,0.00,0.61,38.90
1700,0-3,512,64,0.35,0.00,0.58,39.84
1700,0-3,256,256,0.35,0.00,0.57,40.39
1700,0-3,256,128,0.35,0.00,0.57,40.14
1700,0-3,256,64,0.36,0.00,0.59,39.20
1700,0-1,1024,256,0.36,0.00,0.61,38.66
1700,0-1,1024,128,0.36,0.00,0.59,39.03
1700,0-1,1024,64,0.35,0.00,0.57,40.39
1700,0-1,512,256,0.35,0.00,0.58,40.11
1700,0-1,512,128,0.35,0.00,0.58,39.86
1700,0-1,512,64,0.35,0.00,0.58,40.02
1700,0-1,256,256,0.35,0.00,0.58,39.70
1700,0-1,256,128,0.35,0.00,0.57,40.33
1700,0-1,256,64,0.35,0.00,0.58,39.98
1700,0,1024,256,0.17,0.00,0.28,81.31
1700,0,1024,128,0.17,0.00,0.28,82.00
1700,0,1024,64,0.17,0.00,0.29,81.18
