CPU_Freq,CPU_Cores,FPS_Avg,FPS_Min,FPS_Max,Total_Time
1800,0-3,0.85,0.00,1.42, 16.43
1800,0-1,0.84,0.00,1.40, 16.64
1800,0,0.41,0.00,0.68, 33.70
1700,0-3,0.78,0.00,1.30, 17.82
1700,0-1,0.79,0.00,1.33, 17.57
1700,0,0.40,0.00,0.66, 35.02
1600,0-3,0.77,0.00,1.28, 18.11
1600,0-1,0.76,0.00,1.27, 18.46
1600,0,0.37,0.00,0.62, 37.64
1500,0-3,0.71,0.00,1.17, 19.73
1500,0-1,0.70,0.00,1.17, 19.92
1500,0,0.35,0.00,0.58, 39.79
1400,0-3,0.66,0.00,1.11, 20.94
1400,0-1,0.68,0.00,1.11, 20.80
1400,0,0.33,0.00,0.55, 41.80
1300,0-3,0.62,0.00,1.06, 22.21
1300,0-1,0.65,0.00,1.08, 21.73
1300,0,0.31,0.00,0.51, 44.67
1200,0-3,0.61,0.00,1.00, 23.22
1200,0-1,0.58,0.00,0.97, 24.01
1200,0,0.29,0.00,0.49, 47.50
1100,0-3,0.57,0.00,0.94, 25.11
1100,0-1,0.55,0.00,0.91, 25.43
1100,0,0.28,0.00,0.46, 51.38
1000,0-3,0.51,0.00,0.85, 27.46
1000,0-1,0.52,0.00,0.85, 27.35
1000,0,0.25,0.00,0.42, 55.93
900,0-3,0.46,0.00,0.77, 29.91
900,0-1,0.47,0.00,0.78, 29.93
900,0,0.23,0.00,0.38, 60.92
800,0-3,0.44,0.00,0.74, 32.44
800,0-1,0.42,0.00,0.69, 33.68
800,0,0.23,0.00,0.38, 61.34
700,0-3,0.37,0.00,0.62, 37.82
700,0-1,0.38,0.00,0.64, 36.97
700,0,0.22,0.00,0.36, 63.57
600,0-3,0.33,0.00,0.56, 42.40
600,0-1,0.34,0.00,0.56, 41.56
600,0,0.21,0.00,0.36, 64.76
