CPU_Speed,CPU_Cores,Avg_FPS,Min_FPS,Max_FPS
1800,0-3,0.53,0.00,0.63
1800,0-1,0.52,0.00,0.61
1800,0,0.26,0.00,0.30
1700,0-3,0.51,0.00,0.59
1700,0-1,0.49,0.00,0.58
1700,0,0.24,0.00,0.29
1600,0-3,0.48,0.00,0.57
1600,0-1,0.47,0.00,0.56
1600,0,0.23,0.00,0.27
1500,0-3,0.44,0.00,0.51
1500,0-1,0.44,0.00,0.52
1500,0,0.22,0.00,0.25
1400,0-3,0.41,0.00,0.48
1400,0-1,0.42,0.00,0.48
1400,0,0.21,0.00,0.24
1300,0-3,0.38,0.00,0.45
1300,0-1,0.39,0.00,0.46
1300,0,0.19,0.00,0.22
1200,0-3,0.36,0.00,0.43
1200,0-1,0.36,0.00,0.44
1200,0,0.18,0.00,0.21
1100,0-3,0.33,0.00,0.40
1100,0-1,0.33,0.00,0.39
1100,0,0.17,0.00,0.19
1000,0-3,0.31,0.00,0.37
1000,0-1,0.31,0.00,0.36
1000,0,0.15,0.00,0.18
900,0-3,0.28,0.00,0.32
900,0-1,0.28,0.00,0.33
900,0,0.14,0.00,0.17
800,0-3,0.25,0.00,0.29
800,0-1,0.25,0.00,0.30
800,0,0.14,0.00,0.16
700,0-3,0.22,0.00,0.26
700,0-1,0.23,0.00,0.27
700,0,0.14,0.00,0.16
600,0-3,0.20,0.00,0.24
600,0-1,0.20,0.00,0.24
600,0,0.13,0.00,0.15
