sdram_freq,cpu_cores,cpu_freq,avg_fps
450,4,1400,3.14
450,2,1400,0.82
450,4,1300,4.83
450,2,1300,0.76
450,4,1200,4.87
450,2,1200,0.73
450,4,1100,4.63
450,2,1100,0.68
450,4,1000,4.34
450,2,1000,0.63
400,4,1400,2.25
400,2,1400,0.38
400,4,1300,5.01
400,2,1300,0.74
400,4,1200,4.93
400,2,1200,0.74
400,4,1100,4.77
400,2,1100,0.69
400,4,1000,4.59
400,2,1000,0.63
350,4,1400,2.03
350,2,1400,0.39
350,4,1300,4.68
350,2,1300,0.71
350,4,1200,1.65
350,2,1200,0.73
350,4,1100,4.45
350,2,1100,0.68
350,4,1000,4.23
350,2,1000,0.62
300,4,1400,1.82
300,2,1400,0.65
300,4,1300,4.27
300,2,1300,0.72
300,4,1200,4.24
300,2,1200,0.72
300,4,1100,4.11
300,2,1100,0.67
300,4,1000,3.94
300,2,1000,0.62
