sdram_freq,cpu_cores,cpu_freq,avg_fps
450,4,1400,3.06
450,2,1400,0.85
450,1,1400,0.44
450,4,1300,4.94
450,2,1300,0.77
450,1,1300,0.42
450,4,1200,4.81
450,2,1200,0.73
450,1,1200,0.39
450,4,1100,4.63
450,2,1100,0.68
450,1,1100,0.36
450,4,1000,5.14
450,2,1000,0.63
450,1,1000,0.34
450,4,900,4.82
450,2,900,0.57
450,1,900,0.30
450,4,800,4.41
450,2,800,0.51
450,1,800,0.27
450,4,700,3.80
450,2,700,0.45
450,1,700,0.24
450,4,600,3.57
450,2,600,0.39
450,1,600,0.22
400,4,1400,2.20
400,2,1400,0.36
400,1,1400,0.45
400,4,1300,5.10
400,2,1300,0.77
400,1,1300,0.42
400,4,1200,4.95
400,2,1200,0.74
400,1,1200,0.39
400,4,1100,4.73
400,2,1100,0.68
400,1,1100,0.36
400,4,1000,4.52
400,2,1000,0.62
400,1,1000,0.34
400,4,900,4.24
400,2,900,0.57
400,1,900,0.30
400,4,800,3.96
400,2,800,0.50
400,1,800,0.27
400,4,700,3.62
400,2,700,0.45
400,1,700,0.23
400,4,600,3.57
400,2,600,0.39
400,1,600,0.22
350,4,1400,2.01
350,2,1400,0.39
350,1,1400,0.44
350,4,1300,4.67
350,2,1300,0.77
350,1,1300,0.42
350,4,1200,4.60
350,2,1200,0.73
350,1,1200,0.39
350,4,1100,4.45
350,2,1100,0.68
350,1,1100,0.36
350,4,1000,4.23
350,2,1000,0.62
350,1,1000,0.33
350,4,900,4.03
350,2,900,0.56
350,1,900,0.30
350,4,800,3.72
350,2,800,0.50
350,1,800,0.27
350,4,700,3.47
350,2,700,0.44
350,1,700,0.23
350,4,600,3.49
350,2,600,0.39
350,1,600,0.22
300,4,1400,1.78
300,2,1400,0.39
300,1,1400,0.44
300,4,1300,4.30
300,2,1300,0.75
300,1,1300,0.41
300,4,1200,4.18
300,2,1200,0.73
300,1,1200,0.39
300,4,1100,4.10
300,2,1100,0.67
300,1,1100,0.35
300,4,1000,3.93
300,2,1000,0.62
300,1,1000,0.33
300,4,900,3.73
300,2,900,0.56
300,1,900,0.30
300,4,800,3.48
300,2,800,0.50
300,1,800,0.27
300,4,700,3.27
300,2,700,0.44
300,1,700,0.23
300,4,600,3.48
300,2,600,0.39
300,1,600,0.22
250,4,1400,1.54
250,2,1400,0.70
250,1,1400,0.43
250,4,1300,3.76
250,2,1300,0.74
250,1,1300,0.41
250,4,1200,3.69
250,2,1200,0.72
250,1,1200,0.38
250,4,1100,3.55
250,2,1100,0.66
250,1,1100,0.35
250,4,1000,3.49
250,2,1000,0.61
250,1,1000,0.33
250,4,900,3.34
250,2,900,0.55
250,1,900,0.30
250,4,800,3.17
250,2,800,0.50
250,1,800,0.27
250,4,700,2.96
250,2,700,0.44
250,1,700,0.23
250,4,600,3.40
250,2,600,0.39
250,1,600,0.22
200,4,1400,0.65
200,2,1400,0.63
200,1,1400,0.42
200,4,1300,2.98
200,2,1300,0.71
200,1,1300,0.40
200,4,1200,2.92
200,2,1200,0.69
200,1,1200,0.37
200,4,1100,2.87
200,2,1100,0.64
200,1,1100,0.34
200,4,1000,2.81
200,2,1000,0.59
200,1,1000,0.32
200,4,900,2.71
200,2,900,0.54
200,1,900,0.29
200,4,800,2.61
200,2,800,0.49
200,1,800,0.26
200,4,700,2.50
200,2,700,0.43
200,1,700,0.24
200,4,600,3.22
200,2,600,0.39
200,1,600,0.22
