CPU_Freq,CPU_Cores,FPS_Avg
1800,1,0.41
1700,1,0.4
1600,1,0.37
1500,1,0.35
1400,1,0.33
1300,1,0.31
1200,1,0.29
1100,1,0.28
1000,1,0.25
900,1,0.23
800,1,0.23
700,1,0.22
600,1,0.21
1800,2,0.84
1700,2,0.79
1600,2,0.76
1500,2,0.7
1400,2,0.68
1300,2,0.65
1200,2,0.58
1100,2,0.55
1000,2,0.52
900,2,0.47
800,2,0.42
700,2,0.38
600,2,0.34
1800,4,0.85
1700,4,0.78
1600,4,0.77
1500,4,0.71
1400,4,0.66
1300,4,0.62
1200,4,0.61
1100,4,0.57
1000,4,0.51
900,4,0.46
800,4,0.44
700,4,0.37
600,4,0.33
