CPU_Freq,CPU_Cores,FPS_Avg,FPS_Min,FPS_Max,Total_Time
1800,0-3,0.97,0.00,1.60,14.36
1800,0-1,1.01,0.00,1.70,13.84
1800,0,0.53,0.00,0.88,26.47
1700,0-3,0.92,0.00,1.54,15.06
1700,0-1,0.95,0.00,1.56,14.69
1700,0,0.50,0.00,0.82,28.09
1600,0-3,0.89,0.00,1.50,15.70
1600,0-1,0.90,0.00,1.50,15.45
1600,0,0.47,0.00,0.78,29.73
1500,0-3,0.84,0.00,1.42,16.49
1500,0-1,0.84,0.00,1.39,16.58
1500,0,0.45,0.00,0.74,31.27
1400,0-3,0.81,0.00,1.35,17.26
1400,0-1,0.82,0.00,1.37,17.00
1400,0,0.43,0.00,0.71,32.76
1300,0-3,0.77,0.00,1.26,18.26
1300,0-1,0.76,0.00,1.27,18.29
1300,0,0.40,0.00,0.66,35.03
1200,0-3,0.72,0.00,1.21,19.41
1200,0-1,0.71,0.00,1.16,19.73
1200,0,0.37,0.00,0.62,37.52
1100,0-3,0.67,0.00,1.14,20.55
1100,0-1,0.67,0.00,1.12,20.71
1100,0,0.34,0.00,0.57,40.93
1000,0-3,0.61,0.00,1.02,23.03
1000,0-1,0.64,0.00,1.05,22.04
1000,0,0.31,0.00,0.51,44.92
900,0-3,0.56,0.00,0.95,24.67
900,0-1,0.55,0.00,0.91,25.28
900,0,0.29,0.00,0.49,47.61
800,0-3,0.50,0.00,0.84,27.73
800,0-1,0.51,0.00,0.84,27.66
800,0,0.28,0.00,0.47,49.99
700,0-3,0.47,0.00,0.80,29.51
700,0-1,0.45,0.00,0.75,30.81
700,0,0.26,0.00,0.44,52.75
600,0-3,0.41,0.00,0.70,33.64
600,0-1,0.42,0.00,0.69,33.81
600,0,0.25,0.00,0.42,55.88
